nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,jenis_usaha
Bakso Malang Karapitan,"Mal Ciputra, Jl. Tanjung Duren Barat",PT. Champ Resto Indonesia,Yunus Ciptawilangga,Jakarta Barat,Restoran
Bar B.Q Plaza,"Mal Puri Indah, Jl. Puri Indah Raya",PT. The Barbecue Plaza,Kelvin Danieli Suhendra,Jakarta Barat,Restoran
Baso Malang Karapitan,"Plaza Slipi Jaya, Jl. Letjen.S.Parman Lt. 1 Kav. 1",PT. Champ Resto Indonesia,Ali Gunawan Budiman,Jakarta Barat,Restoran
Beanstro,"Puri Indah Mall, Jl. Puri Agung",PT. Trans Coffee,Fransiscus Sumampow,Jakarta Barat,Restoran
Bearly,Jl. Tanjung Duren Barat III No. 1,PT. Ciko Pelangi Nada,"Tjoeng Tjiang Hie, SE",Jakarta Barat,Restoran
Bengkong Laut,Jl. Duri Kosambi Raya Blk C/1B,,Rudi Pranata Tjoa,Jakarta Barat,Restoran
Biero,Citra 6 Blok J.5.A No. 10 RT003/RW015,PT. Citra Sukses Bogarasa,Tommy,Jakarta Barat,Restoran
Bima,"Mal Ciputra Lantai V Unit 31 A, Jl. Arteri. S. Parman",PT. Nav Bima Pratama,Jakub Setjoatmadja,Jakarta Barat,Restoran
Black Ball,"Central Park Lt. 1, Jl. Letjen. S. Parman Kav. 28",PT. Fresco,Ledianto Darwinto Tjhin,Jakarta Barat,Restoran
Bliss Garden,Jl. Gajah Mada No. 82,Titus Yuwono,Titus Yuwono,Jakarta Barat,Restoran
Blitzmegaplex,"Central Park, Jl. Letjend S.Parman Kav. 28",PT. Graha Layar Prima,Bratanata Perdana,Jakarta Barat,Restoran
Bon Chon Chicken,Jl. Letjen. S.Parman Kav. 21 UGL T09,PT. Michelindo Food International,Michelle Elizabeth,Jakarta Barat,Restoran
Bon Chon Chicken,Jl. Letjen. S.Parman Kav. 21 UGL T09,PT. Michelindo Food International,Michelle Elizabeth,Jakarta Barat,Restoran
Bonchon Chicken,"Jl. Letjen.S.Parman, Jl.Tanjung Duren Raya",PT. Michelindo Food International,Michelle Elizabeth,Jakarta Barat,Restoran
Breakfast Lunch Dinner,Jl. Puri Indah Boulevard Blok U1,PT. Nashville International,Nikko Wonoto,Jakarta Barat,Restoran
Brooaster Chicken,Jl. Daan Mogot,PT. Usaha Sari Boga,Edi Amin,Jakarta Barat,Restoran
Brooaster Chicken,Jl. Arteri S. Parman Lt.V Unit 22B,PT. Usaha Sari Boga,Edi Amin,Jakarta Barat,Restoran
Brussels Spring,"Central Park, Jl. Letjen.S.Parman",CV. Anugrah Bersama,Bert Melvin,Jakarta Barat,Restoran
Brussels Spring,"Central Park, Jl. Letjen.S.Parman",CV. Anugrah Bersama,Bert Melvin,Jakarta Barat,Restoran
Bullfrog,Jl. Raya Pejuangan No. 21,Ir. Pudjiarso H. Prakoso,Ir.Pudjiarso H.Prakoso,Jakarta Barat,Restoran
Bumbu Desa,Jl. Raya Panjang No. 10,Nurcahya Arianegara,Nurcahya Arianegara,Jakarta Barat,Restoran
Burger King,"Mall Ciputra LG, Jl. Letjen S. Parman",PT. Sari Burger Indonesia,Jusroni,Jakarta Barat,Restoran
Burger King,"Puri Indah Mall Lt. 2 Unit 232-232A-233, Jl. Puri A",PT. Sari Burger Indonesia,Jusroni,Jakarta Barat,Restoran
Burger King,Jl. Letjen. S. Parman Kav. 28,PT. Sari Burger Indonesia,Jusroni,Jakarta Barat,Restoran
Burger King,"Hayam Wuruk Plaza GF, Jl. Hayam Wuruk No. 1",PT. Sari Burger Indonesia,Jusroni,Jakarta Barat,Restoran
Burger King,Central Park LG. 248 Jl. Letjen. S. Parman,PT. Sari Burger Indonesia,Jusroni,Jakarta Barat,Restoran
Café & Resto Pisa Puri,Ruko Puri Kencana Blok L6 No. 88,PT. Agung Bestfood Raya,Gunardi Taniwan,Jakarta Barat,Restoran
Café De Waraku,Jl. Letjen. S.Parman Kav. 21,Petty Suwito,Petty Suwito,Jakarta Barat,Restoran
Café De Waraku,Jl. Letjen.S.Parman Kav. 21,Petty Suwito,Petty Suwito,Jakarta Barat,Restoran
Cahaya Baru,"Jl. Tiang Bendera II / 84, Roa Malaka",Hengky Dompas,Hengky Dompas,Jakarta Barat,Restoran
Cahaya Baru,Jl. Tiang Bendera II No. 84,CV. Cahaya Baru,Hengky Dompas,Jakarta Barat,Restoran
California Pizza Kitchen,"PX Pavilion @ The St. Moritz, Jl. Puri Indah Raya",PT. Panca Pilar Kencana,Roni Prananto,Jakarta Barat,Restoran
Canton Bay,Jl. Jend. S. Parman,PT. Panca Mitrasari Lestari,Sumarno Ngadiman,Jakarta Barat,Restoran
Canton Bay,Jl. Puri Agung,PT. Panca Mitrasari Lestari,Sumarno Ngadiman,Jakarta Barat,Restoran
Carl's Jr,"Central Park, Jl. Letjen. S. Parman Kav. 28",PT. Generasi Mutiara Bangsa,Irza Hanafiah Pulungan,Jakarta Barat,Restoran
Carming,Komplek Green Garden Blok Y 3/64,,Herry Kartio,Jakarta Barat,Restoran
Causeway Bay Hk Resto,Jl. Gajah Mada No. 174,PT. Causeway Bay Resto,Lam Saila Angela,Jakarta Barat,Restoran
Celio Cafe,"Perkantoran Kencana, Taman Aries Blok D1/3 U-CD ",PT. Inspirasindo,Melanie Mokoagow,Jakarta Barat,Restoran
Cempaka,Perum Citra 2 Ext Blok BG-3B No.31,PT.Mulia Agung Abadi,I Ketut Sumerta Wijaya,Jakarta Barat,Restoran
Cendana,Jl. Raya Pos Pengumben No. 11,Drs.Syed Abubakar,Drs.Syed Abubakar,Jakarta Barat,Restoran
Cendana,Jl. Raya Pos Pengumben No. 11,Drs.Syed Abubakar,Drs.Syed Abubakar,Jakarta Barat,Restoran
Central,Jl. Latumeten No. 33,PT. Central Sukses Bersama,Alex,Jakarta Barat,Restoran
Cfc,Jl. Aipda KS. Tubun No. 92 - 94,PT. Pioneerindo Gourmet International,Kusuwandi Tamin,Jakarta Barat,Restoran
Cfc,"Plaza Slipi Jaya, Jl. Letjen S. Parman Kav. 17-18",PT. Pioneerindo Gourmet Intl,Kusuwandi Tamin,Jakarta Barat,Restoran
Chatterbox Cafe,"The Foodhall, Jl. Perjuangan Raya Kedoya",PT. Sari Boga Lestari,Susan Logawa,Jakarta Barat,Restoran
Chatterbox Café,"Central Park, Jl. Tanjung Duren Raya",PT. Sari Boga Lestari,Indrawan Widjaja,Jakarta Barat,Restoran
Cheese Cake Factory,Jl. Tomang Raya No. 41,PT. Desserta Factori Gelato,De Selva U Chandra Sri Lal,Jakarta Barat,Restoran
Chef Yang,"Jl. Kintamani Raya, Jl. Tanah Lot",PT. Abdi Manunggal,Fabian,Jakarta Barat,Restoran
Chefs Table,"Mall Puri Indah, Jl. Puri Agung Raya",PT. Dhana Makmur Cemerlang,DENDY SJAHADA H,Jakarta Barat,Restoran
Chicken Story,"Mal Ciputra, Jl. Letjend. S. Parman",PT. Prime Restaurant Indonesia,Harry Sanusi,Jakarta Barat,Restoran
Chinese Food,St. Moritz Mall Lantai 2 No. 50 RT002/RW002,PT. Nihao Jaya Makmur,Herry Sugandhi,Jakarta Barat,Restoran
City Extra,Jl. Tanjung Duren Raya No. 1G RT003/RW005,PT. Tritunggal Jaya Cemerlang,Janto,Jakarta Barat,Restoran
City Hall Kedai Kopi,Jl. Hayam Wuruk No. 72,PT. City Selera Indo,Ahmad Suseno,Jakarta Barat,Restoran
Clover Palace,Jl. Letjen. S.Parman Kav. 28,PT. Deca Mandiri,Mahdiana,Jakarta Barat,Restoran
Club 36,Jl. Hayam Wuruk No. 126,PT. Paramita Inti Utama,Boyke Jatikusuma,Jakarta Barat,Restoran
Club Nebula,"Central Park Mall Lt. 8 Lot 3A, Jl. Letjend S. Parman",PT. Nebula Interten,Irwan Gunawan Lie,Jakarta Barat,Restoran
Coca Suki,Jl. Raya Perjuangan No. 1,PT. Boga Selera Perdana,Henny Hidayat,Jakarta Barat,Restoran
Coral Bistro,"Komp. Graha Mas Blok B.25, Jl. Raya Perjuangan ",Ferry Laksana,Ferry Laksana,Jakarta Barat,Restoran
Crystal Jade La Mian,"Ranch Market Headquarter, Jl. Pesanggrahan Raya",PT. Crystal Jade La Miab Xiao Long B,Shannon Masrin,Jakarta Barat,Restoran
Culina,Jl. Pesanggrahan No. 8,PT. Selera Kian Makmur,Lin Manuhutu,Jakarta Barat,Restoran
Cut & Grill,"The Bale Kawasan Daan Mogot Baru C1-C2, Jl. Daan Mogot Raya KM. 16",PT. Karnivora Maju Terus,Ridwan Kumala,Jakarta Barat,Restoran
D' Asti Wines And Spirits Lounge,"ST. Moritz Puri Indah Lt. G, Jl. Komp. Perum Puri",PT. Mitra Kreasi Kuliner,Irwan Gunawan Lie,Jakarta Barat,Restoran
D' Core,Jl. Letjen. S.Parman Kav. 72,CV. Anak Muda Pinter Makan,Yossita Kurniawan,Jakarta Barat,Restoran
