nama_lokasi,area,jenis_restaurant,harga,latitude,longitude
"Shophaus, Lantai 1, Jl. Teuku Cik Ditiro No. 36, Menteng, Jakarta",Jakarta,Bakery,150000,-6.197503,106.836698
"Jl. Kebon Sirih Barat, Menteng, Jakarta",Jakarta,Jawa,120000,-6.183193,106.825718
"AYANA Midplaza JAKARTA, Jl. Jend. Sudirman Kav. 10-11, Sudirman, Jakarta 10220",Jakarta,Japanese,400000,-6.209062293,106.8201471
"Sheraton Grand Jakarta, Jl. Sultan Iskandar Muda, Gandaria, Jakarta",Jakarta,"Western, Asian, Continental",700000,-6.244796,106.783105
"Grand Mercure Jakarta Kemayoran, Superblok Mega Kemayoran, Jl. H. Benyamin Sueb Kav B-6, Gunung Sahari, Jakarta",Jakarta,"Italian, Western, Indonesian",500000,-6.153882,106.849133
"Rumah Cokro, Jl. HOS Cokroaminoto No. 42A, Menteng, Jakarta",Jakarta,"Cafe, Bakery",140000,-6.192107,106.828629
"Grand Indonesia Mall, East Mall, Lantai 1, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",Jakarta,"Italian, Japanese",400000,-6.196904,106.822608
"Grand Indonesia Mall, East Mall, Lantai 2, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",Jakarta,German,450000,-6.19631,106.822536
"Jl. H. Agus Salim No. 23A, Menteng, Jakarta",Jakarta,Chinese,100000,-6.183909,106.824934
"Jl. Ir. H. Juanda No 19, Gambir, Jakarta",Jakarta,"Indonesian, Western, Italian, Dimsum",120000,-6.167420313,106.8267618
"Grand Indonesia Mall, West Mall, Lantai Ground, Jl. M.H. Thamrin No. 1, Thamrin, Jakarta",Jakarta,"Fusion, Thai, European, Bakery, Beverages",300000,-6.195705,106.820315
"Jl. Raden Saleh No. 58, Cikini, Jakarta",Jakarta,Arabian,350000,-6.192977,106.840186
"Shophaus, Lantai 1, Jl. Teuku Cik Ditiro No. 36, Menteng, Jakarta",Jakarta,Healthy Food,150000,-6.197606,106.836593
"Mercure Jakarta Cikini, Jl. Cikini Raya No. 66, Cikini, Jakarta",Jakarta,Finger Food,500000,-6.194439142,106.8393249
"Jl. Haji Agus Salim No. 128, Thamrin, Jakarta",Jakarta,"Seafood, Jawa, Peranakan",400000,-6.195506,106.824828
"Jl. Setiabudi Tengah No.11, Setiabudi, Jakarta",Jakarta,"Jawa, Indonesian",170000,-6.209289943,106.8265938
"Citywalk Sudirman, Lantai 1, Jl. KH Mas Mansyur, Sudirman, Jakarta",Jakarta,"Japanese, BBQ",550000,-6.209137621,106.8184657
"Jl. Kebon Sirih Timur Dalam No. 37 - 39, Menteng, Jakarta",Jakarta,"Jawa, Indonesian, Western",150000,-6.184186,106.830247
"Plaza Indonesia, Lantai 1, Jl. M. H. Thamrin, Thamrin, Jakarta",Jakarta,"Chinese, Dimsum",450000,-6.194063,106.822333
"Jl. Dr. Kusuma Atmaja No. 79, Thamrin, Jakarta",Jakarta,Cafe,200000,-6.197687,106.824211
"Suites@ Seven, Jl. H. Sidik No. 7, Setiabudi, Jakarta",Jakarta,Cafe,150000,-6.22066633,106.8235579
"Jl. Teuku Cik Ditiro No. 50, Menteng, Jakarta",Jakarta,Italian,350000,-6.199274,106.837016
"Senayan City, Lantai Lower Ground, Jl. Asia Afrika, Senayan, Jakarta",Jakarta,"Japanese, Ramen",200000,-6.228026587,106.7974392
"Fairmont Jakarta, Jl. Asia Afrika No. 8, Senayan, Jakarta",Jakarta,"Chinese, Dimsum",1000000,-6.222235514,106.7986325
"Grand Indonesia Mall, East Mall, Lantai Lower Ground, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",Jakarta,Western,350000,-6.196082,106.82212
"Pavilion Retail Arcade, Lantai Dasar,  Jl. K.H Mas Mansyur, Sudirman, Jakarta",Jakarta,"Steak, Grill, BBQ, South American",500000,-6.207962038,106.8177268
"Pullman Jakarta Indonesia, Jl. M.H. Thamrin 59, Thamrin, Jakarta",Jakarta,"Sushi, Japanese",3000000,-6.193305,106.823805
"All Seasons Hotel, Lantai 14, Jl. Talang Betutu No. 2, Thamrin, Jakarta",Jakarta,"Indonesian, Western",500000,-6.201407,106.822151
"Hotel Indonesia Kempinski, Jl. M. H. Thamrin, Thamrin, Jakarta",Jakarta,"Indonesian, Western",600000,-6.195618,106.822356
"Fairmont Jakarta, Lantai 22, Jl. Asia Afrika No. 8, Senayan, Jakarta",Jakarta,Western,1400000,-6.222012202,106.7995542
"Grand Indonesia Mall, West Mall, Lantai 5, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",Jakarta,"Fusion, Italian, Indonesian, Coffee",200000,-6.19484,106.819567
"Grand Indonesia Mall, East Mall, Lantai 3A, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",Jakarta,Japanese,200000,-6.195432,106.821312
"The Capitol Park, Jl. Salemba Raya No. 16, Senen, Jakarta",Jakarta,"Cafe, Coffee, Tea",150000,-6.196643707,106.8506201
"Jl. Johar No. 1, Menteng, Jakarta",Jakarta,Indonesian,150000,-6.187535,106.832479
"Grand Indonesia Mall, Lantai 5, FoodPrint, West Mall, Jl. MH Thamrin, Thamrin, Jakarta",Jakarta,"Sushi, Japanese",100000,-6.195224,106.820094
"Jl. Teuku Cik Ditiro No. 4, Menteng, Jakarta",Jakarta,"Jawa, Soto, Indonesian",500000,-6.194216,106.836175
"Jl. HOS. Cokroaminoto No. 94, Menteng, Jakarta",Jakarta,"Mexican, Italian",150000,-6.197928,106.828163
"Metropole 21, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta",Jakarta,Palembang,70000,-6.1999,106.843739
"Hotel Morrissey, Jl. KH Wahid Hasyim No. 70, Menteng, Jakarta",Jakarta,"Italian, Western, Asian",600000,-6.186924,106.829166
"Senayan National Golf Club - The Maj Senayan, Jl. Asia Afrika Pintu IX, Senayan, Jakarta",Jakarta,"European, Grill, Asian",600000,-6.22560451,106.7977738
"MD Place Bulding, Lantai 11, Jl. Setiabudi Selatan No. 7, Setiabudi, Jakarta",Jakarta,"American, Mediterranean",500000,-6.20864099,106.8284084
"Hotel Aryaduta Jakarta, Jl. Prapatan No. 44 - 48, Gambir, Jakarta",Jakarta,Japanese,1200000,-6.182015212,106.8352611
"Senopati Suites 3, 3rd Floor, Jl. Senopati Raya 41, Kebayoran Baru, RT.8/RW.2, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta,"Cafe, Desserts, Coffee, Tea",150000,-6.229410102,106.8026038
"Jl. Cikajang No. 29, Senopati, Jakarta",Jakarta,"Bakery, Western, Coffee, Tea",150000,-6.241156338,106.8105197
"Setiabudi One, Lantai Ground, Jl. HR Rasuna Said, Setiabudi, Jakarta",Jakarta,"Coffee, Australian",350000,-6.21644471,106.8299627
